,Unnamed: 0,Ram,Storage,Battery,Price,Brand,Color,Front_cam,Rear_cam,display,Display_type
513,513,6,128,53,24999,12,5,8.0,108.0,6.67,0
514,514,8,256,40,46450,12,0,8.0,50.0,6.73,0
515,515,4,64,19,15999,10,11,5.0,48.0,6.3,2
516,516,4,64,28,12749,10,0,8.0,13.0,5.5,1
517,517,4,64,28,12749,10,4,8.0,13.0,5.5,1
518,518,4,64,49,10999,10,5,2.0,12.0,6.22,2
519,519,4,64,28,12749,10,6,8.0,13.0,5.5,1
520,520,6,64,19,22999,10,1,13.0,48.0,6.39,2
521,521,8,256,49,33990,12,0,8.0,108.0,6.67,1
522,522,8,128,49,32390,12,11,8.0,108.0,6.67,1
523,523,6,64,19,17999,10,1,5.0,12.0,6.26,2
524,524,6,64,19,16999,10,1,5.0,48.0,6.3,2
525,525,4,64,19,15999,10,4,5.0,12.0,6.26,2
526,526,6,128,32,21990,0,0,8.0,64.0,6.55,1
527,527,8,128,32,23990,0,1,8.0,64.0,6.55,1
528,528,8,128,32,23990,0,0,8.0,64.0,6.55,1
529,529,6,128,32,21990,12,0,8.0,64.0,6.55,2
530,530,4,64,49,9999,10,7,2.0,13.0,6.53,2
531,531,8,128,32,25999,12,0,8.0,64.0,6.55,2
532,532,2,16,4,5999,10,1,8.0,13.0,6.5,1
533,533,6,128,32,22490,0,1,8.0,64.0,6.55,1
534,534,2,32,19,8099,10,1,8.0,12.0,6.26,1
535,535,3,32,4,6999,10,4,8.0,13.0,6.5,1
536,536,3,32,4,6999,10,4,8.0,13.0,6.5,1
537,537,2,16,4,5999,10,6,8.0,13.0,6.5,1
538,538,3,32,19,10999,10,4,8.0,12.0,5.99,2
539,539,8,256,19,31999,10,0,13.0,48.0,6.39,2
540,540,4,64,19,12349,10,0,2.0,12.0,6.3,2
541,541,4,64,8,13499,10,4,5.0,12.0,5.99,2
542,542,3,32,19,10999,10,4,8.0,12.0,5.99,2
543,543,8,256,49,34890,12,11,8.0,108.0,6.67,1
544,544,2,16,4,5999,10,4,8.0,13.0,6.5,1
545,545,4,64,54,14999,3,0,8.0,12.0,6.44,1
546,546,4,64,5,17499,3,0,12.0,20.0,5.99,2
547,547,6,128,23,17499,3,11,8.0,48.0,6.08,2
548,548,3,32,4,6999,10,6,8.0,13.0,6.5,1
549,549,6,64,19,16999,10,0,5.0,12.0,5.99,2
550,550,6,128,23,17499,3,11,8.0,48.0,6.08,2
551,551,3,32,4,6999,10,6,8.0,13.0,6.5,1
552,552,6,64,19,16999,10,0,5.0,12.0,5.99,2
553,553,2,16,4,5999,10,4,8.0,13.0,6.5,1
554,554,6,128,19,28999,10,0,13.0,48.0,6.39,2
555,555,3,32,19,10999,10,0,8.0,12.0,5.99,2
556,556,4,64,19,12999,10,1,8.0,48.0,6.3,2
557,557,3,32,8,8990,10,0,5.0,12.0,5.99,2
558,558,3,32,19,10999,10,1,8.0,12.0,5.99,2
559,559,4,64,19,12999,10,9,8.0,48.0,6.3,2
560,560,6,128,32,24990,12,0,8.0,64.0,6.55,1
561,561,4,64,19,14999,10,4,5.0,12.0,5.99,2
562,562,4,64,19,12999,10,0,8.0,48.0,6.3,2
563,563,4,64,19,12349,10,0,2.0,12.0,6.3,2
564,564,4,64,19,12999,10,11,8.0,48.0,6.3,2
565,565,4,64,19,14999,10,1,5.0,12.0,5.99,2
566,566,6,64,19,16999,10,0,5.0,48.0,6.3,2
567,567,12,256,49,39990,12,0,8.0,108.0,6.67,1
568,568,3,32,49,8999,10,1,8.0,12.0,6.22,2
569,569,6,128,19,28999,10,1,13.0,48.0,6.39,2
570,570,6,64,19,16999,10,1,5.0,12.0,5.99,2
571,571,3,32,9,6999,10,6,8.0,13.0,6.5,1
572,572,8,128,53,26999,12,0,8.0,108.0,6.67,0
573,573,4,64,19,13499,10,0,8.0,12.0,5.84,1
574,574,4,64,51,14450,10,0,8.0,48.0,6.67,2
575,575,3,32,19,9999,10,0,2.0,12.0,6.26,2
576,576,4,64,51,14990,10,4,48.0,48.0,6.67,2
577,577,6,128,19,14998,10,1,8.0,48.0,6.3,2
578,578,6,128,55,13495,10,0,8.0,8.0,6.5,1
579,579,2,32,49,6749,10,5,8.0,13.0,6.53,2
580,580,3,32,49,8999,10,0,8.0,12.0,6.22,2
581,581,3,32,49,7999,10,0,8.0,13.0,6.53,1
582,582,4,64,55,11180,10,1,8.0,8.0,6.5,1
583,583,3,32,19,11999,10,1,5.0,48.0,6.3,2
584,584,8,128,32,22800,12,0,8.0,64.0,6.55,2
585,585,8,128,39,24808,3,0,8.0,48.0,6.67,2
586,586,6,128,49,20425,10,0,8.0,108.0,6.67,1
587,587,6,128,37,24999,12,5,8.0,108.0,6.67,0
588,588,6,128,49,17990,10,11,8.0,50.0,6.6,1
589,589,6,64,49,16795,10,1,8.0,50.0,6.6,1
590,590,6,64,49,14990,10,11,8.0,50.0,6.6,1
591,591,8,128,49,20000,10,1,8.0,108.0,6.67,1
592,592,8,128,49,20990,10,1,8.0,108.0,6.67,1
