,Ram,Storage,Brand,Color,Display_Size,Display_Type,Front_Cam,Rear_Cam,Price
1047,64 GB RO,64 GB ROM,apple,Purple,6.1,HD,12,12,"₹42,999"
1049,32 GB RO,32 GB ROM,apple,Black,5.488,HD,7,12,"₹37,900"
1050,256 GB RO,256 GB ROM,apple,Grey,6.5,XDR,12,12,"₹1,31,900"
1053,512 GB RO,512 GB ROM,apple,Gold,6.5,HD,7,12,"₹1,44,900"
1054,16 GB RO,16 GB ROM,apple,Silver,4.7,HD,2,8,"₹36,990"
1055,64 GB RO,64 GB ROM,apple,Silver,6.5,HD,7,12,"₹1,09,900"
1056,32 GB RO,32 GB ROM,apple,Gold,5.5,HD,5,12,"₹34,900"
1057,64 GB RO,64 GB ROM,apple,Gold,4.7,HD,5,12,"₹49,999"
1058,16 GB RO,16 GB ROM,apple,Gold,5.5,HD,5,12,"₹49,999"
1059,16 GB RO,16 GB ROM,apple,Silver,4.7,HD,5,12,"₹41,999"
1060,128 GB RO,128 GB ROM,apple,Gold,4.7,HD,5,12,"₹55,999"
1062,128 GB RO,128 GB ROM,apple,White,4.7,HD,7,12,"₹32,990"
1063,256 GB RO,256 GB ROM,apple,Black,5.5,HD,7,12,"₹85,400"
1064,64 GB RO,64 GB ROM,apple,White,4.7,HD,7,12,"₹28,990"
1065,256 GB RO,256 GB ROM,apple,Black,4.7,HD,7,12,"₹40,990"
1066,256 GB RO,256 GB ROM,apple,Blue,6.1,XDR,12,12,"₹1,29,900"
1067,64 GB RO,64 GB ROM,apple,Green,5.4,XDR,12,12,"₹49,999"
1069,128 GB RO,128 GB ROM,apple,Silver,4.7,HD,5,12,"₹55,999"
1070,128 GB RO,128 GB ROM,apple,Blue,5.4,XDR,12,12,"₹61,999"
1073,256 GB RO,256 GB ROM,apple,Silver,6.5,XDR,12,12,"₹1,31,900"
1074,64 GB RO,64 GB ROM,apple,Grey,4.7,HD,2,8,"₹44,999"
1077,512 GB RO,512 GB ROM,apple,Yellow,6.1,XDR,12,12,"₹1,02,999"
1078,16 GB RO,16 GB ROM,apple,Gold,4.7,HD,5,12,"₹41,999"
1079,256 GB RO,256 GB ROM,apple,Gold,6.5,XDR,12,12,"₹1,31,900"
1080,256 GB RO,256 GB ROM,apple,White,6.1,XDR,12,12,"₹66,999"
1081,32 GB RO,32 GB ROM,apple,Gold,4.7,HD,5,12,"₹29,990"
1082,64 GB RO,64 GB ROM,apple,Gold,5.8,XDR,12,12,"₹87,099"
1084,256 GB RO,256 GB ROM,apple,White,5.4,XDR,12,12,"₹55,999"
1085,256 GB RO,256 GB ROM,apple,Green,6.1,XDR,12,12,"₹1,29,900"
1087,512 GB RO,512 GB ROM,apple,Gold,6.7,XDR,12,48,"₹1,58,099"
1089,128 GB RO,128 GB ROM,apple,Gold,4.7,HD,5,12,"₹55,999"
1092,128 GB RO,128 GB ROM,apple,Black,4.7,HD,7,12,"₹34,900"
1096,256 GB RO,256 GB ROM,apple,Grey,5.8,HD,7,12,"₹1,03,900"
1098,128 GB RO,128 GB ROM,apple,White,6.1,XDR,12,12,"₹57,999"
1099,128 GB RO,128 GB ROM,apple,Black,4.7,HD,7,12,"₹32,990"
1100,256 GB RO,256 GB ROM,apple,Purple,5.4,XDR,12,12,"₹55,999"
1103,256 GB RO,256 GB ROM,apple,Green,6.5,XDR,12,12,"₹1,01,999"
1104,256 GB RO,256 GB ROM,apple,Gold,5.5,HD,7,12,"₹85,400"
1106,32 GB RO,32 GB ROM,apple,White,4.7,Retina,2,8,"₹53,500"
1108,128 GB RO,128 GB ROM,apple,White,5.4,XDR,12,12,"₹54,999"
1109,8 GB RO,8 GB ROM,apple,Blue,5.4,Retina,2,8,"₹14,999"
1110,8 GB RO,8 GB ROM,apple,White,5.4,Retina,2,8,"₹14,999"
1112,256 GB RO,256 GB ROM,apple,Silver,4.7,HD,7,12,"₹74,400"
1113,128 GB RO,128 GB ROM,apple,Gold,5.488,HD,7,12,"₹42,900"
1115,128 GB RO,128 GB ROM,apple,Gold,4.7,HD,7,12,"₹34,900"
1117,64 GB RO,64 GB ROM,apple,Silver,5.5,HD,2,8,"₹48,999"
1120,64 GB RO,64 GB ROM,apple,Grey,4.7,HD,7,12,"₹39,900"
1122,512 GB RO,512 GB ROM,apple,Grey,6.5,XDR,12,12,"₹1,50,800"
1123,512 GB RO,512 GB ROM,apple,Blue,6.1,XDR,12,12,"₹1,06,699"
1124,64 GB RO,64 GB ROM,apple,Gold,6.5,HD,7,12,"₹1,09,900"
1125,256 GB RO,256 GB ROM,apple,Gold,4.7,HD,7,12,"₹74,400"
1128,256 GB RO,256 GB ROM,apple,Silver,5.8,HD,7,12,"₹1,03,900"
1138,1 TB RO,1 TB ROM,apple,Purple,6.7,XDR,12,48,"₹1,78,099"
1144,512 GB RO,512 GB ROM,apple,Silver,5.8,HD,7,12,"₹1,34,900"
1145,256 GB RO,256 GB ROM,apple,White,4.7,HD,7,12,"₹40,990"
1147,128 GB RO,128 GB ROM,apple,Grey,5.5,HD,5,12,"₹92,000"
1148,256 GB RO,256 GB ROM,apple,Gold,5.5,HD,7,12,"₹85,400"
1149,128 GB RO,128 GB ROM,apple,Black,4.7,HD,7,12,"₹32,990"
1150,128 GB RO,128 GB ROM,apple,Silver,4.7,HD,7,12,"₹34,900"
1153,128 GB RO,128 GB ROM,apple,Grey,4.7,HD,5,12,"₹82,000"
1154,8 GB RO,8 GB ROM,apple,Yellow,4.7,Retina,2,8,"₹37,500"
1155,256 GB RO,256 GB ROM,apple,Gold,4.7,HD,7,12,"₹74,400"
1158,128 GB RO,128 GB ROM,apple,Blue,6.1,XDR,12,12,"₹1,19,900"
1159,32 GB RO,32 GB ROM,apple,Gold,5.488,HD,7,12,"₹37,900"
1160,128 GB RO,128 GB ROM,apple,Gold,5.488,HD,7,12,"₹42,900"
1161,128 GB RO,128 GB ROM,apple,Gold,5.5,HD,5,12,"₹70,000"
1163,64 GB RO,64 GB ROM,apple,Gold,5.8,HD,7,12,"₹89,900"
1164,256 GB RO,256 GB ROM,apple,Black,4.7,HD,7,12,"₹74,400"
1166,16 GB RO,16 GB ROM,apple,Grey,5.5,HD,5,12,"₹72,000"
1167,64 GB RO,64 GB ROM,apple,Silver,5.8,XDR,12,12,"₹1,06,600"
1169,128 GB RO,128 GB ROM,apple,Blue,6.7,XDR,12,12,"₹1,29,900"
1170,128 GB RO,128 GB ROM,apple,Gold,6.7,XDR,12,12,"₹95,599"
1171,256 GB RO,256 GB ROM,apple,Gold,5.8,XDR,12,12,"₹1,21,300"
1172,512 GB RO,512 GB ROM,apple,Purple,6.7,XDR,12,48,"₹1,58,099"
1175,512 GB RO,512 GB ROM,apple,Gold,6.7,XDR,12,12,"₹1,23,299"
1177,128 GB RO,128 GB ROM,apple,Grey,5.5,HD,2,8,"₹80,500"
1178,64 GB RO,64 GB ROM,apple,Gold,5.5,HD,2,8,"₹71,500"
1179,64 GB RO,64 GB ROM,apple,Silver,5.8,HD,7,12,"₹91,900"
1181,256 GB RO,256 GB ROM,apple,Silver,5.8,HD,7,12,"₹1,06,900"
1183,128 GB RO,128 GB ROM,apple,Black,6.1,XDR,12,12,"₹57,999"
1213,1 TB RO,1 TB ROM,apple,Gold,6.7,XDR,12,48,"₹1,78,099"
